Id,WnvPresent
1,0.0001547547251419322
2,6.455940405407995e-05
3,0.00021026496102749615
4,1.797231724445059e-06
5,1.797231724445059e-06
6,1.797231724445059e-06
7,1.797231724445059e-06
8,1.797231724445059e-06
9,0.00012495111762610798
10,5.2125255241499967e-05
11,0.00016977266943011873
12,1.4510671413395807e-06
13,1.4510671413395807e-06
14,1.4510671413395807e-06
15,1.4510671413395807e-06
16,1.4510671413395807e-06
17,0.00017076329203177275
18,7.123840150707602e-05
19,0.0002320144389904167
20,1.9831773301160753e-06
21,1.9831773301160753e-06
22,1.9831773301160753e-06
23,1.9831773301160753e-06
24,1.9831773301160753e-06
25,8.064247584109562e-05
26,3.364036394058958e-05
27,0.00010957169721831384
28,9.36466387944248e-07
29,9.36466387944248e-07
30,9.36466387944248e-07
31,9.36466387944248e-07
32,9.36466387944248e-07
33,7.877327727790647e-05
34,3.286058372515695e-05
35,0.00010703202480988455
36,9.147584988189355e-07
37,9.147584988189355e-07
38,9.147584988189355e-07
39,9.147584988189355e-07
40,9.147584988189355e-07
41,8.106808987249815e-05
42,3.3817919097956974e-05
43,0.00011014997677810215
44,9.41409256692113e-07
45,9.41409256692113e-07
46,9.41409256692113e-07
47,9.41409256692113e-07
48,9.41409256692113e-07
49,7.856453889473467e-05
50,3.277350369660615e-05
51,0.00010674841261481605
52,9.123343259888024e-07
53,9.123343259888024e-07
54,9.123343259888024e-07
55,9.123343259888024e-07
56,9.123343259888024e-07
57,9.332953035008149e-05
58,3.893311251963189e-05
59,0.00012680945603653045
60,1.083809287073651e-06
61,1.083809287073651e-06
62,1.083809287073651e-06
63,1.083809287073651e-06
64,1.083809287073651e-06
65,6.752154818616381e-05
66,2.8166695764272464e-05
67,9.174427475517734e-05
68,7.84088529025554e-07
69,7.84088529025554e-07
70,7.84088529025554e-07
71,7.84088529025554e-07
72,7.84088529025554e-07
73,0.00011388909237905293
74,4.751025715612894e-05
75,0.00015474316943627297
76,1.3225885110409627e-06
77,1.3225885110409627e-06
78,1.3225885110409627e-06
79,1.3225885110409627e-06
80,1.3225885110409627e-06
81,7.933526836437868e-05
