Date,Species,Trap,Longitude,Latitude
2007-05-29,CULEX PIPIENS/RESTUANS,T002,-87.800991,41.95469
2007-05-29,CULEX RESTUANS,T002,-87.800991,41.95469
2007-05-29,CULEX RESTUANS,T007,-87.769279,41.994991
2007-05-29,CULEX PIPIENS/RESTUANS,T015,-87.824812,41.974089
2007-05-29,CULEX RESTUANS,T015,-87.824812,41.974089
2007-05-29,CULEX RESTUANS,T045,-87.666455,41.9216
2007-05-29,CULEX RESTUANS,T046,-87.65449100000001,41.891118
2007-05-29,CULEX PIPIENS/RESTUANS,T048,-87.654224,41.867108
2007-05-29,CULEX RESTUANS,T048,-87.654224,41.867108
2007-05-29,CULEX RESTUANS,T049,-87.655232,41.896282
2007-05-29,CULEX PIPIENS/RESTUANS,T050,-87.694259,41.919343
2007-05-29,CULEX PIPIENS/RESTUANS,T054,-87.632085,41.921965
2007-05-29,CULEX RESTUANS,T054,-87.632085,41.921965
2007-05-29,CULEX PIPIENS/RESTUANS,T086,-87.676709,41.688324
2007-05-29,CULEX RESTUANS,T086,-87.676709,41.688324
2007-05-29,CULEX RESTUANS,T091,-87.64886,41.862292
2007-05-29,CULEX RESTUANS,T094,-87.666014,41.720848
2007-05-29,CULEX RESTUANS,T096,-87.677512,41.731922
2007-05-29,CULEX PIPIENS,T096,-87.677512,41.731922
2007-05-29,CULEX PIPIENS/RESTUANS,T129,-87.61156,41.891126
2007-05-29,CULEX RESTUANS,T129,-87.61156,41.891126
2007-05-29,CULEX PIPIENS/RESTUANS,T143,-87.795585,41.999128999999996
2007-05-29,CULEX PIPIENS/RESTUANS,T148,-87.68776899999999,42.01743
2007-05-29,CULEX RESTUANS,T153,-87.760886,41.907645
2007-05-29,CULEX RESTUANS,T159,-87.649642,41.732984
2007-06-05,CULEX PIPIENS/RESTUANS,T002,-87.800991,41.95469
2007-06-05,CULEX RESTUANS,T002,-87.800991,41.95469
2007-06-05,CULEX PIPIENS,T002,-87.800991,41.95469
2007-06-05,CULEX PIPIENS/RESTUANS,T015,-87.824812,41.974089
2007-06-05,CULEX RESTUANS,T015,-87.824812,41.974089
2007-06-05,CULEX PIPIENS/RESTUANS,T045,-87.666455,41.9216
2007-06-05,CULEX RESTUANS,T045,-87.666455,41.9216
2007-06-05,CULEX PIPIENS,T045,-87.666455,41.9216
2007-06-05,CULEX RESTUANS,T046,-87.65449100000001,41.891118
2007-06-05,CULEX PIPIENS/RESTUANS,T048,-87.654224,41.867108
2007-06-05,CULEX RESTUANS,T048,-87.654224,41.867108
2007-06-05,CULEX PIPIENS,T048,-87.654224,41.867108
2007-06-05,CULEX RESTUANS,T049,-87.655232,41.896282
2007-06-05,CULEX PIPIENS/RESTUANS,T050,-87.694259,41.919343
2007-06-05,CULEX RESTUANS,T050,-87.694259,41.919343
2007-06-05,CULEX RESTUANS,T054,-87.632085,41.921965
2007-06-05,CULEX RESTUANS,T086,-87.676709,41.688324
2007-06-05,CULEX PIPIENS/RESTUANS,T094,-87.666014,41.720848
2007-06-05,CULEX PIPIENS/RESTUANS,T096,-87.677512,41.731922
2007-06-05,CULEX RESTUANS,T096,-87.677512,41.731922
2007-06-05,CULEX PIPIENS,T096,-87.677512,41.731922
2007-06-05,CULEX PIPIENS/RESTUANS,T143,-87.795585,41.999128999999996
2007-06-05,CULEX RESTUANS,T143,-87.795585,41.999128999999996
2007-06-05,CULEX RESTUANS,T153,-87.760886,41.907645
2007-06-05,CULEX RESTUANS,T159,-87.649642,41.732984
2007-06-05,CULEX RESTUANS,T009,-87.812827,41.981964000000005
2007-06-05,CULEX RESTUANS,T011,-87.832763,41.944869
2007-06-05,CULEX RESTUANS,T016,-87.81150600000001,42.011601
2007-06-05,CULEX RESTUANS,T019,-87.69845699999999,41.94983
2007-06-05,CULEX RESTUANS,T025,-87.750938,41.979243
2007-06-05,CULEX RESTUANS,T028,-87.689778,41.986921
2007-06-05,CULEX PIPIENS/RESTUANS,T031,-87.763416,41.801497999999995
2007-06-05,CULEX RESTUANS,T033,-87.701431,41.906638
2007-06-05,CULEX RESTUANS,T089,-87.64997,41.723195000000004
2007-06-05,CULEX PIPIENS/RESTUANS,T090,-87.666901,41.868077
2007-06-05,CULEX RESTUANS,T090,-87.666901,41.868077
2007-06-05,CULEX PIPIENS/RESTUANS,T092,-87.627561,41.869215999999994
2007-06-05,CULEX PIPIENS/RESTUANS,T135,-87.72460799999999,41.662014
2007-06-05,CULEX RESTUANS,T135,-87.72460799999999,41.662014
2007-06-05,CULEX PIPIENS,T135,-87.72460799999999,41.662014
2007-06-05,CULEX PIPIENS/RESTUANS,T141,-87.76007,41.961743
2007-06-05,CULEX RESTUANS,T141,-87.76007,41.961743
2007-06-05,CULEX PIPIENS/RESTUANS,T142,-87.776792,41.953067
